  x_AR	                    x_MA
  -4.3256481152822068e-01  -4.3256481152822068e-01
  -1.6655843782380970e+00  -1.6655843782380970e+00
   1.2533230647483068e-01   1.2533230647483068e-01
   2.8767642035854885e-01   2.8767642035854885e-01
  -1.1464713506814637e+00  -1.1464713506814637e+00
   4.1977911112540722e-01   1.1909154656429988e+00
   1.3269927628453886e+00   9.2898770444285150e-01
   1.1282070661481818e+00   4.3394418589305833e-01
   8.7673043579073695e-01   7.5088307014764988e-01
   8.6661874406850514e-01   1.1555010589343641e-01
   3.5260053558957605e-01  -3.5104848277385525e-02
   8.5930016923197983e-01   7.1495667785980277e-01
  -3.6316724701336645e-01  -3.0928643497775282e-01
   2.1515897464386926e+00   1.7118062654027137e+00
   4.6985512356336090e-01   5.3688955726658272e-01
   1.2046259000665887e+00   3.3678188263119613e-01
   9.2006729128081433e-01   1.2100440774767343e+00
   1.2426977378053927e+00   9.9452070101014256e-02
   1.0398595620822865e-01   3.9797065752243477e-01
  -5.3661319628788906e-01  -6.0107369898521923e-01
  -3.7242103798760823e-01  -1.2266141080910563e-01
  -1.6500460333755278e+00  -1.0559082996272642e+00
  -2.8918317369816038e-01   1.6174528758807377e-01
   9.6756314848159108e-01   1.3490218329710411e+00
   2.3310316210177517e-01  -1.6978124546220447e-01
   1.0960471514554917e+00   1.0380687632561181e+00
   1.8538595733518068e+00   1.0795505642589991e+00
  -1.5656732852950817e-01  -8.8728522154452971e-01
  -1.4387963668728427e+00  -1.0627566902368704e+00
  -5.7878983247189464e-01  -3.2369424122606066e-01
  -9.2238672107504782e-01  -6.3573049397721570e-01
   8.4720594870842603e-02   6.8693840840340181e-01
   4.9845771206195166e-01   8.2135817610831763e-01
   1.4352706811958260e+00   7.1101305722897057e-01
   2.0632868529670922e+00   1.5749998164552668e+00
   2.1827092860949269e+00   1.0369109292951975e+00
   2.5533449922604339e+00   1.4699289030947127e+00
   2.9740470512139816e-01  -3.3159779637896369e-01
   3.6570674099583400e-01  -1.2937525837348007e-01
  -6.2676152785020744e-01  -1.9055339700162399e-01
  -1.8228485739308300e+00  -1.5067110191378026e+00
  -1.4030485903695449e+00  -6.9375177499897522e-02
  -2.1031629299155545e+00  -1.2227426700458863e+00
   2.9100636221373866e-01   7.1991637511512940e-01
  -1.1088389341699378e+00  -2.6035721342743201e-01
   7.7653432822830082e-01   1.7270931220917052e-01
   4.7611379957467920e-02   4.4595322544652050e-01
   1.4634990276852511e-01  -8.9364697730676979e-01
  -2.5961454866789850e+00  -1.6943484581142030e+00
  -9.5056435853771881e-01  -9.9438420702878783e-01
  -2.4544490922315263e+00  -1.3216461400029016e+00
  -9.9339454215690792e-02   7.3597542541662245e-02
  -5.4159343976350427e-01   5.0736330619023651e-01
   2.4572822673417729e+00   1.3169467039082774e+00
   1.3864705781919566e+00   1.2388940807497479e+00
   1.4203247261482019e+00  -1.1074100903343814e-01
   6.8080531093350372e-01   4.0936297132560717e-01
  -5.8781483066104090e-02  -8.8125093428739643e-01
  -4.8491957345771408e-01  -1.9652053452530294e-01
  -5.0578578448280265e-01  -8.4731432911432425e-02
  -5.2859501056019842e-01  -2.2163861505007323e-01
  -7.3633417863523520e-01  -1.2692455062228453e-01
   6.3476626356833410e-01   6.7687122962843205e-01
  -1.6231021184843226e+00  -1.2313876435803939e+00
   2.3400501248593164e-02  -3.7262054322121929e-02
   1.8843037360524406e-01   6.1145834554243872e-01
   1.5933433995926638e+00   6.1040872194850659e-01
   9.7246433142359412e-01   1.2004184997831868e+00
   1.2773206290730466e+00   2.1114639093244522e-01
   1.1624917561544372e+00   6.9568724285582206e-01
   1.5225855777702613e+00   7.4056357467476763e-01
   3.4702289774376910e-01   1.2091296894581553e-01
