"DLPFC","DLPFC","Parietal","Parietal"
2.2855,-0.29516,-3.0362,-4.5184
0.85457,-2.6338,-4.5223,-1.9025
-0.26151,-3.0811,-4.7146,0.47887
-1.1941,-2.6233,-3.9754,1.9282
-1.279,-1.6142,-2.0104,3.7723
-1.3238,-0.724,0.89612,6.0583
-0.58961,0.63134,2.1652,9.2318
-1.1633,0.08104,4.0815,11.186
-1.5361,0.03455,4.3869,12.269
-1.6843,-0.03475,3.3492,10.794
-1.0633,0.18214,1.7038,9.0922
-0.21123,0.85976,2.3894,6.9918
0.29068,1.6838,2.6283,6.5659
1.1061,2.2861,3.6927,5.8492
0.96371,2.2594,2.8941,6.3874
-0.55804,0.72498,2.4229,5.8737
-1.2362,0.035159,2.2379,6.6206
-1.6596,-0.99317,1.4667,7.8102
-2.5186,-1.7644,-0.25099,8.7022
-2.7868,-2.1064,0.84134,8.0764
-2.6213,-1.5525,1.0052,8.1602
-3.6002,-1.7071,0.079834,6.7067
-4.0044,-2.085,-1.0062,4.7328
-4.5279,-3.0706,-0.16917,4.5327
-3.7252,-2.8165,-0.32205,5.9239
-3.5887,-3.1656,-0.19905,5.9595
-2.9848,-3.4624,-0.86441,5.6729
-0.49111,-2.8734,-0.79544,5.8906
0.67079,-2.3398,-1.4476,6.3537
-0.058772,-2.7117,-3.6859,5.4173
0.43937,-2.1228,-4.2983,4.0844
1.3549,-0.38863,-2.2807,4.6929
-0.58531,-0.407,-1.3306,4.5535
-0.6419,-0.0034961,-0.093825,2.2169
0.1304,0.29116,1.8987,1.3634
0.2799,0.019939,2.0262,1.1069
-0.80414,-0.8727,0.45756,0.26244
-0.98203,-0.2893,-0.39063,-0.42069
-0.99122,-0.081146,-0.97061,-0.67969
-0.76987,0.11513,-1.6511,-1.1612
-0.67481,0.12917,-1.6296,-1.3708
0.13987,0.30706,-1.0657,-2.526
0.77708,0.69641,-0.64988,-3.4415
0.8282,0.55445,-0.72292,-3.7539
1.0402,1.1143,-0.48882,-4.0433
1.8079,1.7087,-0.71,-3.0171
1.5188,1.7438,-1.125,-2.0949
1.1976,0.46318,-2.428,-2.837
1.9015,1.2432,-1.7155,-1.8807
0.98446,0.29345,-2.171,-1.086
0.044144,-0.2513,-2.3372,-2.4161
1.7014,-0.20747,-2.3107,-2.664
2.2194,0.68474,-0.29554,0.1565
1.2642,-0.20702,-1.0056,0.99728
2.1556,-0.03478,-0.52325,1.561
3.1495,0.49973,0.55759,2.6646
1.5714,0.73404,1.102,2.6124
1.6617,0.81236,0.85308,0.3557
2.201,1.7659,1.3645,-1.8724
1.4035,1.7814,1.7417,-3.3715
0.066179,1.205,1.143,-3.5232
-0.7525,0.2261,0.54459,-3.5162
-0.81492,0.28863,-0.57838,-2.8796
-0.56144,-0.25286,0.16209,-1.9035
0.68707,0.36543,-0.28802,-1.2091
2.3511,1.2245,-2.5086,-0.88116
3.022,1.6542,-3.4498,-1.4444
2.6302,1.0657,-4.2151,-2.8273
1.7613,0.7765,-5.8602,-3.9458
0.31263,0.33251,-5.309,-4.14
-1.0393,0.0058713,-3.7045,-5.04
-0.85951,0.8236,-2.4934,-4.5787
-0.41257,1.4539,-1.0654,-3.0341
-0.3167,1.8598,0.55943,-2.0665
-0.32036,2.0468,-0.0075674,-1.6454
-0.3944,1.4715,0.10678,-2.1737
-0.25541,0.67192,0.19161,-1.5437
0.20606,0.6034,-0.53958,-1.1604
0.90437,-0.14049,-0.60241,-1.0697
0.95874,-0.32013,1.9516,-0.21603
1.4319,0.63573,3.9965,3.3853
0.81547,0.88707,3.4938,4.5573
-0.13115,0.20048,3.8143,4.5824
0.056833,0.87712,2.7074,4.3157
0.43294,0.64735,1.0847,3.2741
0.095937,-0.068962,0.0087014,1.657
0.10083,-0.22454,0.27777,0.62949
-0.33086,-0.083771,0.53508,0.17381
-0.20682,0.087561,1.8921,1.4522
-0.35453,0.33942,2.5737,2.22
-0.69345,0.036348,1.3868,1.0523
-1.0799,0.014188,0.91986,0.13047
-0.075335,0.11802,0.38343,0.33082
0.17498,-0.63456,-2.2587,-0.65529
-0.055419,-0.97476,-2.6439,-2.9841
-0.24202,-0.971,-1.0944,-3.9598
2.0347,-0.43446,0.76581,-2.6142
2.3266,-0.37489,1.4698,-2.4877
1.971,-0.31924,2.2856,-2.5773
3.8746,-0.11497,1.7811,-1.7048
5.1055,0.60365,1.8277,0.24275
3.8235,0.84649,1.5665,0.52484
2.8944,0.94538,2.1797,0.94744
2.169,0.7766,3.425,2.4328
0.14717,0.32052,3.2266,2.4876
